life_expectancy,state,median_income,unemployment,income_inequality,gender_pay_gap,disconnected_youth,adult_smoking,physical_inactivity,adult_obesity,diabetes_prevalence,food_insecurity,insufficient_sleep,pm25,primary_care_physicians,homeownership,severe_housing_cost_burden
72.43208331,AL,64726,0.0245276408,5.4671421294,0.7959392015,0.0775953538,0.15,0.265,0.397,0.129,0.152,0.384,10.2,0.0011110778,0.6371736374,0.1595986405
76.061757922,AL,81811,0.0206563552,4.4251247691,0.7192646873,0.0908229048,0.155,0.244,0.358,0.112,0.148,0.398,7.8,3.441316e-4,0.7749681417,0.0769825719
76.475175248,AL,86172,0.0204677795,4.9246695904,0.6743383494,0.0372894371,0.138,0.217,0.357,0.11,0.139,0.384,7.1,8.552394e-4,0.6877681281,0.1062513416
72.404085747,AL,48829,0.0292030164,4.9441931385,0.7099327738,0.1319587629,0.188,0.298,0.395,0.124,0.2,0.386,7.8,2.39349e-4,0.7522530807,0.0713671539
71.900213003,AL,59882,0.0205583207,4.7301922082,0.7524466232,0.0726893149,0.171,0.279,0.386,0.114,0.176,0.403,8.7,5.497414e-4,0.7547757417,0.0898107715
72.618914026,AL,55538,0.0310043278,5.0727057531,0.7096208224,0.0918436293,0.191,0.287,0.422,0.135,0.163,0.415,8,7.117386e-4,0.6487442915,0.1404791332
72.724550576,AL,60063,0.0281265324,5.1317574962,0.820729018,0.0715784377,0.181,0.296,0.446,0.157,0.16,0.438,7.9,9.673136e-4,0.577044666,0.1742167873
72.755057494,AL,70387,0.019869691,4.8227272727,0.6828594666,0.0891105851,0.175,0.296,0.387,0.129,0.164,0.396,8.1,5.094285e-4,0.7250574335,0.0998161057
71.64235794,AL,50675,0.027288514,6.018294368,0.9478730521,0.0669228306,0.164,0.297,0.406,0.137,0.17,0.401,8.6,4.243582e-4,0.6287187624,0.16718107
71.017446865,AL,52312,0.0275583864,4.88064076,0.7038374114,0.0986354776,0.203,0.33,0.469,0.158,0.188,0.433,8.7,1.702939e-4,0.6055331315,0.1693269777
72.792927371,AL,78349,0.0213632938,3.8269602609,0.7463239818,0.1129625622,0.152,0.248,0.33,0.106,0.152,0.358,9.4,1.832924e-4,0.8247237289,0.070499803
79.404063548,AL,90280,0.0184491585,3.9271514099,0.7584473158,0.0332788226,0.112,0.208,0.321,0.095,0.125,0.351,10,7.712581e-4,0.8125951249,0.1002763427
70.451040172,AL,59491,0.0277452555,5.4513799585,0.769624927,0.0763595379,0.185,0.314,0.426,0.141,0.181,0.447,9.1,2.575929e-4,0.7256225486,0.1265449485
74.51571098,AL,61117,0.023399467,5.3326788563,0.7871083719,0.0417033343,0.176,0.28,0.414,0.128,0.152,0.419,7.5,6.299365e-4,0.6215788931,0.1474511587
67.799489094,AL,57950,0.0264438992,5.3806643625,0.7387666128,0.0931876607,0.218,0.34,0.429,0.128,0.195,0.436,9,4.628344e-4,0.7749869178,0.1061256005
76.315233199,AK,88696,0.0422549805,4.2138486793,0.8532531825,0.1134584421,0.162,0.213,0.323,0.083,0.128,0.376,5.3,9.676895e-4,0.6658914005,0.1235849932
76.34256887,AK,93881,0.0342719612,4.0473686526,0.8746555699,0.1047752189,0.136,0.199,0.296,0.079,0.112,0.347,5.8,0.0011627059,0.6373623317,0.1320469307
77.684520715,AK,86780,0.0380447922,3.8908895333,0.8523397591,0.1217015469,0.139,0.203,0.321,0.076,0.111,0.368,11.9,8.578034e-4,0.6169283503,0.1266537959
79.790675956,AK,99748,0.0299353214,3.9086982942,0.9736170587,0.0896279594,0.148,0.203,0.328,0.077,0.104,0.328,4.8,0.001282332,0.6440858578,0.1284119107
76.2208921,AK,94376,0.0482599075,4.253557966,0.7804806093,0.0947971039,0.195,0.26,0.314,0.086,0.123,0.342,4.7,4.878666e-4,0.7663676226,0.1218800816
76.733171829,AZ,77158,0.0391400858,4.400719232,0.8460867562,0.0814253951,0.131,0.226,0.335,0.113,0.131,0.361,6,6.644846e-4,0.6697789251,0.1380867903
63.845346311,AZ,43121,0.0788163868,8.0695606695,0.8216119097,0.1808662542,0.271,0.316,0.391,0.179,0.215,0.427,3.3,4.114411e-4,0.7913302999,0.064972858
76.089432366,AZ,53011,0.045336291200000003,5.0482321855,0.80918462,0.0635733157,0.153,0.24,0.329,0.108,0.148,0.352,6.5,5.791353e-4,0.7050083208,0.1143825286
75.864470435,AZ,71528,0.0419991488,5.1058045026,0.8902328342,0.0390966309,0.138,0.18,0.27,0.104,0.144,0.329,5.3,8.203954e-4,0.5884381641,0.162604944
69.593726569,AZ,55804,0.0430466783,4.0172336783,0.7008302933,0.1195652174,0.185,0.245,0.344,0.117,0.168,0.368,6,4.478531e-4,0.7716853739,0.1394292837
73.543255415,AZ,66469,0.0368326335,4.7326333409,0.6999132263,0.1221091582,0.157,0.256,0.404,0.125,0.146,0.376,5.4,4.097311e-4,0.7353932584,0.1039843684
77.470431797,AZ,86973,0.0342015741,4.1575128205,0.845118692,0.0741269961,0.118,0.22,0.327,0.104,0.12,0.349,12.6,6.991968e-4,0.6501300268,0.1415317484
72.784224521,AZ,56302,0.0450922493,4.4104706894,0.8675865598,0.1600101755,0.176,0.273,0.366,0.108,0.164,0.417,6.1,5.328629e-4,0.7363027482,0.1376610527
67.131288084,AZ,51011,0.0566569412,5.2009290374,0.8335481313,0.1804402743,0.224,0.259,0.385,0.133,0.19,0.378,5.3,6.287738e-4,0.7274259018,0.0875158743
76.485898854,AZ,69553,0.0382614254,4.6958224087,0.8450817102,0.0731301642,0.14,0.246,0.328,0.103,0.14,0.388,6.2,8.706976e-4,0.6480897521,0.147150269
78.111967714,AZ,77290,0.0411207724,3.7087754439,0.794408911,0.1145256821,0.151,0.252,0.389,0.118,0.123,0.411,16.1,1.77953e-4,0.8052394191,0.1052132327
76.388259727,AZ,67317,0.0361016452,4.3416700834,0.8677382154,0.0775862069,0.152,0.218,0.277,0.091,0.136,0.342,5.7,5.531407e-4,0.7351147842,0.148125664
